Date,Open,High,Low,Close,Adj Close,Volume
2023-07-07,18435.460938,18537.750000,18279.730469,18365.699219,18365.699219,2463266100
2023-07-10,18747.500000,18781.210938,18417.630859,18479.720703,18479.720703,1953461500
2023-07-11,18671.419922,18806.550781,18573.669922,18659.830078,18659.830078,2114932400
2023-07-12,18797.009766,18932.179688,18739.599609,18860.949219,18860.949219,1818311800
2023-07-13,19181.310547,19368.919922,19163.210938,19350.619141,19350.619141,2729756500
2023-07-14,19534.820313,19534.820313,19364.599609,19413.779297,19413.779297,2460070700
2023-07-18,19324.339844,19324.339844,18979.919922,19015.720703,19015.720703,2591229600
2023-07-19,18826.589844,19004.419922,18711.029297,18952.310547,18952.310547,1982969600
2023-07-20,19003.279297,19215.740234,18888.759766,18928.019531,18928.019531,1807926400
2023-07-21,18918.699219,19169.750000,18886.429688,19075.259766,19075.259766,1637013200
2023-07-24,18867.609375,18946.560547,18562.119141,18668.150391,18668.150391,2212871900
2023-07-25,19172.279297,19465.269531,19111.820313,19434.400391,19434.400391,3670887000
2023-07-26,19340.769531,19404.500000,19245.660156,19365.140625,19365.140625,2136512600
2023-07-27,19502.089844,19685.789063,19482.470703,19639.109375,19639.109375,3028767100
2023-07-28,19418.480469,19940.589844,19381.900391,19916.560547,19916.560547,3094859900
2023-07-31,20237.529297,20361.029297,20019.789063,20078.939453,20078.939453,4327873000
2023-08-01,20211.199219,20331.279297,19891.810547,20011.119141,20011.119141,3013635300
2023-08-02,19902.769531,19981.000000,19475.150391,19517.380859,19517.380859,2958227800
2023-08-03,19404.140625,19650.160156,19369.060547,19420.869141,19420.869141,2488071400
2023-08-04,19671.130859,19857.390625,19461.609375,19539.460938,19539.460938,2771467700
2023-08-07,19474.660156,19581.820313,19352.349609,19537.919922,19537.919922,2277019400
2023-08-08,19308.550781,19370.800781,19112.609375,19184.169922,19184.169922,3491048500
2023-08-09,19059.580078,19270.480469,19056.099609,19246.029297,19246.029297,2264244800
2023-08-10,19125.000000,19315.169922,19030.390625,19248.259766,19248.259766,2598340600
2023-08-11,19319.910156,19346.289063,19049.919922,19075.189453,19075.189453,3363828300
2023-08-14,18697.330078,18792.720703,18554.509766,18773.550781,18773.550781,3890510400
2023-08-15,18599.199219,18745.820313,18513.779297,18581.109375,18581.109375,2668372200
2023-08-16,18356.650391,18440.960938,18261.849609,18329.300781,18329.300781,2823625500
2023-08-17,18023.109375,18399.199219,17900.769531,18326.630859,18326.630859,3160942900
2023-08-18,18208.980469,18336.410156,17936.429688,17950.849609,17950.849609,3049414000
2023-08-21,17798.470703,17867.660156,17587.380859,17623.289063,17623.289063,3141863900
2023-08-22,17641.859375,17965.259766,17573.699219,17791.009766,17791.009766,2895653800
2023-08-23,17762.759766,18000.529297,17730.789063,17845.919922,17845.919922,2499731900
2023-08-24,17992.730469,18272.949219,17945.009766,18212.169922,18212.169922,2758913200
2023-08-25,18037.599609,18137.650391,17969.410156,18119.390625,18119.390625,2467696800
2023-08-28,18519.080078,18564.429688,18113.230469,18130.740234,18130.740234,2985842200
2023-08-29,18261.689453,18583.800781,18239.919922,18484.029297,18484.029297,3071235600
2023-08-30,18659.960938,18742.140625,18427.220703,18482.859375,18482.859375,3288670900
2023-08-31,18580.470703,18667.179688,18312.759766,18382.060547,18382.060547,4074881200
2023-09-04,18592.529297,18899.490234,18575.449219,18844.160156,18844.160156,4040296000
2023-09-05,18717.419922,18725.500000,18431.720703,18456.910156,18456.910156,2315663900
2023-09-06,18405.089844,18492.589844,18256.099609,18449.980469,18449.980469,2352887700
2023-09-07,18437.480469,18437.480469,18173.439453,18202.070313,18202.070313,2123306900
2023-09-11,17941.650391,18164.609375,17842.369141,18096.449219,18096.449219,2522422900
2023-09-12,18015.560547,18145.580078,17892.009766,18025.890625,18025.890625,1887139100
2023-09-13,18131.099609,18200.519531,17954.970703,18009.220703,18009.220703,1865961200
2023-09-14,18101.960938,18173.539063,17928.630859,18047.919922,18047.919922,2013840800
2023-09-15,18154.009766,18372.650391,18030.789063,18182.890625,18182.890625,2781390700
